specObjID,bestObjID,plate,mjd,fiberID,subClass,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,elodieObject,elodieSpType,elodieBV,elodieTEff,elodieLogG,elodieFeH
5007124368826060800,1237658200733516047,4447,55542,900,A5II (34578),124.4431,30.8297,23.1946,21.25619,21.14464,20.91381,21.48251,HD002796,Fw,0.647,4949,1.32,-2.32
5009165612196581376,1237660764837118281,4449,55544,134,A5II (34578),128.703,29.25168,22.97263,21.22457,20.90993,20.82245,20.8546,HD001227,G8II-III,0.895,5063,2.65,0.25
5010461936338620416,1237658199659839832,4450,55540,754,A5II (34578),125.2573,30.41965,20.66891,19.57373,19.46586,19.45255,19.37243,HD036395,M1V,1.474,3705,4.8,0.6
5012595813463117824,1237657776607986162,4452,55536,325,A5II (34578),116.5119,27.38174,19.55801,18.65132,18.38509,18.26016,18.20193,HD028343,K7V,1.363,3900,4.232,0.17
5012752493870075904,1237657401872351800,4452,55536,895,A5II (34578),117.1866,28.81417,21.40163,20.3844,20.35357,20.10716,20.10749,HD028343,K7V,1.363,3900,4.232,0.17
5016009522239787008,1237660764835676776,4455,55539,456,A5II (34578),125.6631,27.17611,22.51374,21.15324,21.05464,21.12616,20.98274,HD001227,G8II-III,0.895,5063,2.65,0.25
5016063948065361920,1237660765372940587,4455,55539,654,A5II (34578),126.219,28.08457,21.82505,20.93135,20.7855,20.71593,20.47829,HD028343,K7V,1.363,3900,4.232,0.17
5017132123578191872,1237657595144045862,4456,55537,444,A5II (34578),113.2938,26.91311,23.08516,21.55063,21.22059,21.33015,20.75056,HD009927,K3III,1.299,4395,2.11,-0.01
5018347639068184576,1237658190535656121,4457,55858,770,A5II (34578),123.7211,28.21832,23.19911,21.50601,21.42075,21.08617,20.81587,HD005234,K2III,1.226,4318,1.76,-0.25
5020494430068822016,1237657629504831653,4459,55533,388,A5II (34578),117.4973,26.56123,21.1782,19.74396,19.50779,19.50474,19.57116,HD028343,K7V,1.363,3900,4.232,0.17
5021728631871000576,1237661087495356937,4460,55533,782,A5II (34578),128.5531,27.37534,21.93109,21.05548,20.88127,20.70681,20.38324,HD001227,G8II-III,0.895,5063,2.65,0.25
5028287224166502400,1237660562430821199,4466,55857,66,A5II (34578),118.9699,23.75583,23.63696,21.66851,21.50979,21.24765,20.91301,HD001227,G8II-III,0.895,5063,2.65,0.25
5028375185096724480,1237658191606251925,4466,55857,386,A5II (34578),117.3424,23.83046,21.89095,20.51204,20.21474,20.13821,20.93063,HD028343,K7V,1.363,3900,4.232,0.17
5030568711414894592,1237664093434086198,4468,55894,174,A5II (34578),125.65,23.32903,23.04756,21.06198,20.83203,20.67155,20.80977,HD002796,Fw,0.647,4949,1.32,-2.32
5031705605917921280,1237661125073568057,4469,55863,214,A5II (34578),122.6124,22.97916,22.10849,20.81905,20.57397,20.63425,20.43964,BD+174708,sdF8,0.394,5949,3.93,-1.7
5031902418499293184,1237661125610963514,4469,55863,930,A5II (34578),123.3773,23.98985,22.37118,21.9721,22.04229,21.93989,20.71059,HD002796,Fw,0.647,4949,1.32,-2.32
5034128375662530560,1237660764832989749,4471,55617,836,A5II (34578),120.331,23.36753,21.60962,20.49852,20.28874,20.15396,19.87548,HD002796,Fw,0.647,4949,1.32,-2.32
5035062965176651776,1237674370219901528,4472,55893,140,A5II (34578),130.7153,21.80113,22.51641,21.63684,21.58309,21.32632,20.92574,HD001227,G8II-III,0.895,5063,2.65,0.25
5035092651990601728,1237674369682833667,4472,55893,248,A5II (34578),130.2559,21.40538,23.81186,21.64068,21.4574,21.57292,21.36501,HD001227,G8II-III,0.895,5063,2.65,0.25
5043092143788544000,1237661085345317405,4479,55592,678,A5II (34578),124.1559,22.733,21.65326,21.08891,20.88897,20.75512,20.75162,HD028343,K7V,1.363,3900,4.232,0.17
5053079007551311872,1237661126143706043,4488,55571,146,A5II (34578),115.2379,18.48427,23.12427,21.46198,21.24318,21.27891,21.04456,HD028343,K7V,1.363,3900,4.232,0.17
5054336023783559168,1237667109037932767,4489,55545,623,A5II (34578),127.4571,19.45403,21.38608,20.19788,20.01996,20.00587,19.96527,HD036395,M1V,1.474,3705,4.8,0.6
5065632131822407680,1237667107961635492,4499,55572,758,A5II (34578),122.4875,16.06192,22.52411,22.00919,21.83563,21.85177,21.52755,HD002796,Fw,0.647,4949,1.32,-2.32
5072305068411473920,1237667429547770893,4505,55603,458,A5II (34578),120.529,12.12092,22.64917,20.87686,21.2032,20.96165,21.1043,HD000245,G2V,0.539,5373,4.37,-1.08
5074688259210366976,1237670965917778624,4507,55564,936,A5II (34578),129.449,12.203,22.30053,21.40393,21.29884,21.13441,20.63915,HD001227,G8II-III,0.895,5063,2.65,0.25
5076829558273232896,1237667731268240071,4509,55574,534,A5II (34578),122.4447,11.20889,21.45361,20.7187,20.4385,20.46859,19.95752,HD005234,K2III,1.226,4318,1.76,-0.25
5076952153819729920,1237667782272221987,4509,55574,980,A5II (34578),124.5679,11.13698,22.29728,21.40666,21.33135,21.16095,20.86439,HD001227,G8II-III,0.895,5063,2.65,0.25
5101533935097368576,1237667229294854615,4531,55563,296,A5II (34578),29.08579,7.352752,22.80245,21.33819,21.14108,21.09583,21.15463,HD000245,G2V,0.539,5373,4.37,-1.08
5101626019196194816,1237678906794967461,4531,55563,631,A5II (34578),28.77297,9.206063,23.14531,21.65037,21.62667,21.48439,21.09677,HD003712,K0II-IIIva,1.173,4662,2.05,-0.09
5102699967111516160,1237670015653577116,4532,55559,442,A5II (34578),26.03385,6.954568,22.82434,21.59855,21.46156,21.37188,21.22932,HD029139,K5III,1.538,3922,1.21,-0.17
5103764299333259264,1237669680115482987,4533,55855,218,A5II (34578),3.062342,7.033623,23.26661,21.72706,21.49142,21.4293,21.30085,HD001835,G3V,0.621,5771,4.44,0.15
5111662641245605888,1237679317482209717,4540,55863,280,A5II (34578),8.014071,9.141936,22.72181,22.0805,21.95639,21.87118,21.54333,HD037742,O9.5Ib...,-0.199,9899,2.924,0.09
5122860068182970368,1237669766550913647,4550,55894,56,A5II (34578),17.29503,6.973727,23.12784,21.70284,21.48191,21.64489,20.78609,HD000245,G2V,0.539,5373,4.37,-1.08
5125269097991655424,1237678918066307422,4552,55884,628,A5II (34578),21.24392,10.8404,21.68325,21.08251,20.72024,20.72113,20.30769,HD033751,0,1,4536,2.826,0.09
5129858459995754496,1237670016725352709,4556,55912,940,A5II (34578),21.57269,7.823565,22.04371,21.40477,21.18063,21.22498,20.84561,HD001227,G8II-III,0.895,5063,2.65,0.25
5131886503438602240,1237661383313785185,4558,55569,126,A5II (34578),157.5751,39.22654,21.31698,20.20109,20.04762,19.97432,19.95386,HD028343,K7V,1.363,3900,4.232,0.17
5132007174839750656,1237661872394010806,4558,55569,565,A5II (34578),155.5743,40.66679,21.40972,20.51011,20.23242,20.3406,20.06447,HD001227,G8II-III,0.895,5063,2.65,0.25
5137677631987404800,1237661383849672996,4563,55617,714,A5II (34578),154.7184,38.96356,21.79487,21.22203,21.00044,20.91941,20.70841,HD112413,A0spe...,-0.048,11048,3.73,0.91
5138712821396426752,1237662224057106669,4564,55570,384,A5II (34578),155.4339,35.34487,21.37141,20.85992,20.70068,20.61524,20.69281,HD028343,K7V,1.363,3900,4.232,0.17
5139922834295115776,1237660637066822122,4565,55591,690,A5II (34578),149.4104,42.82943,22.62863,21.15552,20.86524,20.87881,20.94244,HD001227,G8II-III,0.895,5063,2.65,0.25
